"Description_1";"Description_2";"id"
"Welcome Stranger";" orange juice, Swedish Punch/Punsch, grenadine, lemon juice, brandy, gin";2456.0
"Wellington";" gin, lime juice, Swedish Punch/Punsch, cherry flavored brandy";2457.0
"Westbrook Cocktail";" gin, Bourbon, sweet vermouth";2458.0
"West Indian Cocktail";" London dry gin, lemon juice, Angostura bitters, sugar";2459.0
"West Indies Yellow Bird";" orange juice, pineapple juice, white rum, Galliano, crème de banane";2460.0
"Westminster Cocktail";" Bourbon, sweet vermouth, dry vermouth";2461.0
"Wetback Cocktail";" gin, lime juice, pastis, crème de menthe";2462.0
"What Is It?";" white rum, Port, egg white";2463.0
"Wheeler Cocktail";" Bourbon or rye whiskey, dry vermouth, orange juice, grenadine";2464.0
"While Rome Burns Cocktail";" New England rum, lemon juice, maple syrup";2465.0
"Whiskey Curacao Fizz";" blended whiskey, lemon juice, Curaçao, sugar";2466.0
"Whiskey Ouzo Fix";" blended whiskey, lemon juice, ouzo, water or sugar";2467.0
"Whiskey Peppermint Flip";" Bourbon or rye whiskey, cream, peppermint schnapps, egg, sugar";2468.0
"Whiskey Puff";" milk, Bourbon or rye whiskey";2469.0
"Whiskey Punch";" Bourbon or rye whiskey, lemon juice, sugar";2470.0
"Whiskey Punch Variation";" Bourbon or rye whiskey, lemon juice, Curaçao, white rum or brandy, sugar";2471.0
"Whiskey Sangaree";" Bourbon or rye whiskey, Port, water or sugar";2472.0
"Whiskey Scaffa";" blended whiskey or Bourbon or rye whiskey, Benedictine, Angostura bitters";2473.0
"Whiskey Skin";" Bourbon or rye whiskey, sugar";2474.0
"Whiskey Sling";" Bourbon or rye whiskey, water or sugar";2475.0
"Whiskey Smash";" Bourbon or rye whiskey, sugar";2476.0
"Whiskey Special";" Bourbon or rye whiskey, orange juice, dry vermouth";2477.0
"Whiskey Swizzle";" Bourbon or rye whiskey, soda, lime juice, sugar, aromatic bitters";2478.0
"Whiskey Toddy (cold)";" Bourbon or rye whiskey, water or sugar";2479.0
"Whiskey Toddy (cold) Variation";" Bourbon or rye whiskey, lemon juice, sugar";2480.0
"Whiskey Toddy (hot)";" Bourbon or rye whiskey, lemon juice, sugar";2481.0
"Whiskey Zoom";" Bourbon or rye whiskey, cream, water or honey";2482.0
"Whisper Cocktail";" Bourbon or rye whiskey, sweet vermouth, dry vermouth";2483.0
"Whispers Of The Frost Cocktail";" Port, cocktail Sherry, Bourbon or rye whiskey, sugar";2484.0
"White Cocktail";" gin, anisette, orange bitters";2485.0
"White Cadillac";" cream, crème de cacao, Cointreau";2486.0
"White Cadillac Variation";" cream, crème de cacao, vodka";2487.0
"White Cadillac Variation";" cream, triple sec, vodka";2488.0
"White Cap Cocktail";" gin, sweet vermouth, crème de menthe, Angostura bitters";2489.0
"White Cargo";" gin, vanilla ice cream";2490.0
"White Cloud Cocktail";" cream, crème de menthe, crème de banane";2491.0
"White Cobbler";" white wine, soda, sugar or soda";2492.0
"White Flame";" gin, Cointreau";2493.0
"White Man's Burden Cocktail";" sloe gin, lime juice, apricot flavored brandy";2494.0
"White Mink";" cream, Galliano, crème de cacao, vanilla ice cream, brandy";2495.0
"White Mule";" Galliano, anisette, vodka";2496.0
"White Pelican Cocktail";" gin, dry vermouth, sweet vermouth";2497.0
"White Plush";" Bourbon or rye whiskey";2498.0
"White Shadow Cocktail";" cream, pastis, rye whiskey";2499.0
"White Shake Cocktail";" triple sec, lemon juice, Angostura bitters";2500.0
"White Shoulder";" cream, Curaçao, vodka";2501.0
"White Strap";" molasses, lemon juice";2502.0
"White Swan";" milk, amaretto";2503.0
"White Tiger";" Tuaca, cream";2504.0
"White Wine Punch";" white wine, Batavia Arak, lemon juice, sugar";2505.0
"Whizz Bang Cocktail";" blended Scotch, dry vermouth, grenadine, pastis";2506.0
"Whizz Doodle Cocktail";" crème de cacao, gin, blended Scotch, cream";2507.0
"Why Mary Cocktail";" brandy, lemon juice, Cointreau, gin";2508.0
"Wild Eyed Rose";" Irish whiskey, grenadine, lime juice";2509.0
"Wild Oat(s) Cocktail";" gin, kirsch, apricot flavored brandy, lemon juice";2510.0
"Wild Red Head";" lemon juice, Cherry Heering";2511.0
"Wild Rose Cocktail";" gin, sweet vermouth, dry vermouth, Angostura bitters, orange bitters";2512.0
"Willawa";" brandy, cream, cherry flavored brandy, Galliano";2513.0
"William Of Orange Cocktail";" brandy, Curaçao, orange bitters";2514.0
"Williamson Cocktail";" white rum, orange juice, lemon juice, sugar";2515.0
"Willie Smith Cocktail";" brandy, maraschino liqueur, lemon juice";2516.0
"Winchell Cocktail";" gin, Cognac, Cointreau, lemon juice";2517.0
"Windmill";" vodka, crème de cacao, Galliano";2518.0
"Windsor Cocktail";" gin, crème de menthe";2519.0
"Windy Corner";" blackberry flavored brandy";2520.0
"Wine Collins";" lemon juice, sugar";2521.0
"Witch Au-go-go";" Strega, lemon juice, white rum, sugar";2522.0
"Witch Doctor Cocktail";" half & half (dairy) or cream, brandy, crème de cacao, vanilla extract, crème de cacao, sugar";2523.0
"Witches Brew";" Strega, orange juice, triple sec, cream";2524.0
"Witching Eve";" crème de cacao, cream, Angostura bitters";2525.0
"W. Johnson Quinn";" brandy, Curaçao, dry vermouth, sweet vermouth, grenadine or pastis";2526.0
"Wonder Cocktail";" claret, gin, lemon juice, sugar";2527.0
"Woodstock";" gin, lemon juice, maple syrup, orange bitters";2528.0
"Wow Cocktail";" white rum, apple brandy, Cognac, pastis";2529.0
"Woxum Cocktail";" apple brandy, Yellow Chartreuse, sweet vermouth";2530.0
"Wright Brothers Cocktail";" Port, rye whiskey, egg white, lemon juice, sugar";2531.0
"Xochimilco";" Kahlua, cream";2532.0
"Yacht Club Punch";" white rum, lemon juice, grenadine, pastis";2533.0
"Yachting Club Cocktail";" genever gin, dry vermouth, Peychaud bitters, pastis";2534.0
"Yankee Doodle Cocktail";" gin, Crème Yvette, lemon juice, cream";2535.0
"Yankee Prince";" Yellow Chartreuse, pastis, apricot flavored brandy";2536.0
"Yellow Daisy";" gin, dry vermouth, pastis, Grand Marnier";2537.0
"Yellow Diamond";" cream, Galliano, Cointreau, gin";2538.0
"Yellow Fingers Cocktail";" blackberry flavored brandy, gin, cream, banana cordial";2539.0
"Yellow Glow Cocktail";" gin, sweet vermouth, Yellow Chartreuse";2540.0
"Yellow Monkey";" cream, white rum, crème de cacao, Galliano";2541.0
"Yellow Plum Cocktail";" plum brandy or slivovitz or quetsch, orange juice, lemon juice, maraschino liqueur";2542.0
"Yes & No Cocktail";" brandy, egg white, Curaçao";2543.0
"Yodel Hiball";" orange juice, Fernet Branca";2544.0
"Yo Ho Ho Cocktail";" white rum, Swedish Punch/Punsch, apple brandy or Calvados";2545.0
"Yokohama Cocktail";" gin, grenadine, orange juice, vodka, pastis";2546.0
"You Never Know Cocktail";" blackberry flavored brandy, crème de menthe";2547.0
"Young Man";" brandy, sweet vermouth, Curaçao, Angostura bitters";2548.0
"Yup Cocktail";" Seagram's Gin, blended Scotch";2549.0
"Yvette Cocktail";" gin, lemon juice, Crème Yvette";2550.0
"Yvette Victoria Cocktail";" Crème Yvette, pastis";2551.0
"Zazarac Cocktail";" Bourbon or rye whiskey, pastis, white rum, anisette, sugar, orange bitters, Angostura bitters";2552.0
"Zazarac Cocktail Variation";" Bourbon or rye whiskey, pastis, white rum, anisette, sugar";2553.0
"Zed Cocktail";" apple brandy, pastis";2554.0
"Zenith (cooler)";" gin, pineapple juice";2555.0
"Zephyr Cocktail";" brandy, maraschino liqueur, pineapple juice, Curaçao, Angostura bitters";2556.0
"Zero Cocktail";" pastis, orange juice, grenadine";2557.0
"Zero Mint";" crème de menthe, water";2558.0
"Zeus";" Campari, vodka";2559.0
"Zoomar Cocktail";" pineapple juice, dark rum, grenadine, lime juice";2560.0
"Zorba";" Metaxa, amaretto";2561.0
"Abbey Cocktail";" gin, orange juice, orange bitters";2562.0
"Abbey Cocktail Variation";" gin, orange juice, Lillet Blanc, Angostura bitters";2563.0
"Absinthe Cocktail";" absinthe, water, anisette, orange bitters";2564.0
"Absinthe Cocktail Variation";" absinthe, Angostura bitters, anisette, orgeat";2565.0
"Absinthe American";" water, absinthe";2566.0
"Absinthe And Egg";" absinthe, egg white or sugar or gin";2567.0
"Absinthe Drip Cocktail";" absinthe or Pernod, sugar or tea";2568.0
"Absinthe French";" absinthe or pastis, sugar";2569.0
"Absinthe Italiano";" absinthe or pastis, anisette, water, maraschino liqueur";2570.0
"Absinthe Special Cocktail";" absinthe, water, sugar, orange bitters";2571.0
"Absinthe Special";" absinthe, gin, anisette, orange bitters";2572.0
"Acacia";" gin, Benedictine, kirsch";2573.0
"Acapulco";" egg white, white rum, lime juice, triple sec, sugar";2574.0
"Ace";" egg white, gin, cream, grenadine";2575.0
"Adam & Eve";" Cognac, gin, fruit garnish, lemon juice";2576.0
"Addington";" dry vermouth, sweet vermouth";2577.0
"Addison";" sweet vermouth, gin";2578.0
"Adelle Special";" blended Scotch, Curaçao";2579.0
"Adios Amigos";" Bacardi white rum, lime juice, gin, brandy, dry vermouth";2580.0
"Admiral Cocktail";" Bourbon, lemon juice, dry vermouth";2581.0
"Admiral Cocktail Variation";" gin, cherry liqueur, lime juice or liqueur or sugar or lime wheel";2582.0
"Adonis";" cocktail Sherry, sweet vermouth, orange bitters";2583.0
"Affinity Cocktail";" blended Scotch, sweet vermouth, dry vermouth, orange bitters or Angostura bitters";2584.0
"Affinity Cocktail Variation";" sweet vermouth, dry vermouth, Crème Yvette";2585.0
"After Dinner Cocktail";" lime wheel, lime juice, Curaçao, apricot flavored brandy";2586.0
"After Dinner Special";" Swedish Punch/Punsch, cherry flavored brandy, lime juice";2587.0
"After Dinner Special Variation";" Yellow Chartreuse, Cointreau, Benedictine";2588.0
"After Supper Cocktail";" apricot flavored brandy, Curaçao, lemon juice";2589.0
"Aggravation";" blended Scotch, Kahlua";2590.0
"Alabama Cocktail";" brandy, lemon juice, Curaçao, sugar";2591.0
"Alabama Fizz";" gin, sprig of mint, lemon juice, sugar";2592.0
"A La Francaise";" pastis";2593.0
"Alaska Cocktail";" gin, Yellow Chartreuse, orange bitters";2594.0
"Albemarle Fizz";" gin, lemon juice, raspberry syrup, sugar";2595.0
"Ale Flip";" ale, egg, sugar";2596.0
"Alexander Cocktail";" crème de cacao, gin, cream";2597.0
"Alexander Cocktail Variation";" crème de cacao, brandy, cream";2598.0
"Alexander's Sister Cocktail";" cucumber slice or gin, crème de menthe, cream";2599.0
"Alice";" sweet vermouth, kummel, blended Scotch";2600.0
"Algonquin";" rye whiskey, pineapple juice, dry vermouth";2603.0
"Alhambra Royal";" Cognac";2604.0
"Allegheny";" dry vermouth, Bourbon, lemon juice, blackberry flavored brandy, aromatic bitters";2605.0
"Allen Cocktail (allen Special)";" gin, maraschino liqueur, lemon juice";2606.0
"Allies Cocktail";" dry vermouth, gin, kummel";2607.0
"Ambrosia";" Galliano, orange juice, gin, cream, coconut piece";2608.0
"Americana";" Bourbon, sugar, aromatic bitters";2609.0
"American Beauty Cocktail";" brandy, dry vermouth, grenadine, orange juice, crème de menthe";2610.0
"American Beauty Cocktail Variation";" Muscatel, fresh grape";2611.0
"Americano";" sweet vermouth, Campari";2612.0
"Andalusia";" cocktail Sherry, white rum, Cognac, Angostura bitters";2613.0
"Angel Face";" apple brandy or Calvados, apricot flavored brandy, gin";2614.0
"Angel Face Variation";" crème de prunelle, crème de cacao";2615.0
"Angel's Delight";" cream, Crème Yvette, triple sec, grenadine";2616.0
"Angel's Kiss";" cream, brandy, Crème Yvette, crème de cacao";2617.0
"Angel's Kiss Variation";" apricot flavored brandy, cream";2618.0
"Angel's Kiss Variation";" cream, crème de violette, crème de prunelle, crème de cacao";2619.0
"Angel's Kiss Variation";" cream, Cognac, Benedictine, Yellow Chartreuse, parfait amour, maraschino liqueur";2620.0
"Angel's Lips";" Benedictine, cream";2621.0
"Angel's Tip";" crème de cacao, cream";2622.0
"Angel's Tit";" maraschino liqueur, whipped cream";2623.0
"Angel's Wing(s)";" cream, brandy, crème de cacao";2624.0
"Angel's Wing(s) Variation";" crème de prunelle, crème de cacao";2625.0
"Angel's Wing(s) Variation";" maraschino liqueur, raspberry syrup, crème de violette";2626.0
"Angel's Wing(s) Variation";" parfait amour, maraschino liqueur, cherry liqueur";2627.0
"Angler's Cocktail";" gin, grenadine or Cointreau or Hercules, orange bitters, Angostura bitters";2628.0
"Ante";" apple brandy or Calvados, Dubonnet, Cointreau, Angostura bitters";2629.0
"Ante Variation";" Calvados, pastis, Cointreau";2630.0
"Antonio";" brandy or gin, maraschino liqueur, crème de menthe";2631.0
"Ants In The Pants";" gin, sweet vermouth, Grand Marnier, lemon juice";2632.0
"Apache";" dry vermouth, gin, Curaçao, cocktail onion";2633.0
"Apple Blossom";" applejack, apple juice, lime juice, maple syrup";2634.0
"Apple Blossom Variation";" sweet vermouth, apple brandy or Calvados";2635.0
"Apple Blow Fizz";" apple brandy, lemon juice, egg white, sugar";2636.0
"Apple Brandy Cocktail";" apple brandy, lemon juice, grenadine";2637.0
"Apple Brandy Cooler";" apple juice, brandy, white rum, Jamaican rum";2638.0
"Apple Brandy Highball";" apple brandy";2639.0
"Apple Brandy Rickey";" lime wheel, apple brandy, lime juice";2640.0
"Apple Brandy Sour";" apple brandy, lemon juice, sugar";2641.0
"Apple Car";" applejack, lemon juice, Cointreau";2642.0
"Applejack Cocktail";" applejack, lemon juice, grenadine";2643.0
"Applejack Sour";" applejack, lemon juice, sugar";2644.0
"Applejack Sour Variation";" applejack, lime juice, lemon juice, grenadine, sugar";2645.0
"Apple Knocker";" orange juice, applejack, lemon juice, sweet vermouth, sugar";2646.0
"Apple Pie Cocktail";" sweet vermouth, white rum, lemon juice, grenadine, apricot flavored brandy";2647.0
"Apple Rum Rickey";" lime wheel, white rum, applejack, lime juice";2648.0
"Apricot";" apricot flavored brandy, lemon juice, orange juice, gin";2649.0
"Apricot Brandy Rickey";" lime wheel, apricot flavored brandy, lime juice";2650.0
"Apricot Cocktail";" gin, apricot flavored brandy, lemon juice, grenadine, Angostura bitters";2651.0
"Apricot Fizz";" apricot flavored brandy, lemon juice, lime juice, sugar";2652.0
"Apricot Lady";" egg white, apricot flavored brandy, white rum, lime juice, Curaçao";2653.0
"Aqueduct Cocktail Glass Shake In Iced Cocktail Shaker & Strain";" vodka, apricot flavored brandy, Curaçao";2654.0
"Arise My Love";" crème de menthe";2655.0
"Artillery";" gin, sweet vermouth, Angostura bitters or Boker's bitters";2656.0
"Astoria";" gin, dry vermouth, orange bitters";2657.0
"Aunt Agatha";" orange juice, white rum";2658.0
"Aunt Jemima";" brandy, Benedictine, crème de cacao";2659.0
"Aviation";" gin, lemon juice, maraschino liqueur, apricot flavored brandy";2660.0
"Aviation Variation";" grape juice, Bourbon";2661.0
"B & B";" brandy, Benedictine";2662.0
"Babbie's Special Cocktail";" apricot flavored brandy, cream, gin";2663.0
"Bacardi";" Bacardi white rum, lime juice, grenadine, sugar";2664.0
"Bachelor's Bait";" gin, grenadine, egg white, orange bitters";2665.0
"Bairn, The";" blended Scotch, Cointreau, orange bitters";2666.0
"Baltimore Bracer";" brandy, anisette, egg white";2667.0
"Bamboo";" sweet vermouth, cocktail Sherry, orange bitters, Angostura bitters";2668.0
"Banana Cow";" milk, white rum, slice of banana, sugar";2669.0
"Banana Cow Variation";" milk, white rum, slice of banana, sugar, vanilla extract, Angostura bitters";2670.0
"Banana Daiquiri";" white rum, slice of banana, lime juice, sugar";2671.0
"Banana Daiquiri Variation";" white rum, lime juice, banana cordial, sugar";2672.0
"Banana Daiquiri Variation";" white rum, lime juice, slice of banana, maraschino liqueur, sugar";2673.0
"Banana Daiquiri, Frozen";" ice, slice of banana, lime juice, grenadine";2674.0
"Banana Punch";" vodka, lime juice, crème de banane";2675.0
"Banana Punch Frappe";" white rum, orange juice, banana cordial";2676.0
"Banshee";" cream, crème de banane, crème de cacao";2677.0
"Barbary Coast";" cream, blended Scotch, crème de cacao, white rum, gin";2678.0
"Barnum (was Right)";" gin, apricot flavored brandy, Angostura bitters, lemon juice";2679.0
"Baron";" gin, dry vermouth, sweet vermouth, Curaçao";2680.0
"Barton Special";" apple brandy or Calvados, blended Scotch, gin";2681.0
"Beachcomber";" white rum, lime juice, Cointreau, maraschino liqueur";2682.0
"Beachcomber Variation";" white rum, lemon juice, maraschino liqueur";2683.0
"Beadlestone";" blended Scotch, dry vermouth";2684.0
"Beals Cocktail";" blended Scotch, sweet vermouth, dry vermouth";2685.0
"Beauty Spot Cocktail";" grenadine, gin, dry vermouth, sweet vermouth, orange juice";2686.0
"Beauty Spot Cocktail Variation";" gin, cream, grenadine, egg white";2687.0
"Been Bee";" brandy, Benedictine";2688.0
"Bee's Knees";" gin, lemon juice, honey";2689.0
"Bee's Knees Variation";" applejack, lemon juice, honey";2690.0
"Bee's Knees Variation";" white rum, honey, lime juice, orange juice, orange bitters";2691.0
"Belmont Cocktail";" gin, cream, raspberry syrup or grenadine";2692.0
"Bennett Cocktail";" gin, lime juice, sugar, orange bitters";2693.0
"Bently (bentley)";" Dubonnet, applejack or Calvados";2694.0
"Bermuda Highball";" dry vermouth, brandy, gin";2695.0
"Bermuda Rose Cocktail";" apricot flavored brandy, gin, grenadine";2696.0
"Bermuda Rose Cocktail Variation";" gin, lemon juice or lime juice, apricot flavored brandy, grenadine";2697.0
"Best Home Made";" gin, orange juice";2698.0
"Betsy Ross";" Port, brandy, Curaçao, Angostura bitters";2699.0
"Betsy Ross Variation";" Port, brandy, egg yolk, Curaçao, sugar, Angostura bitters";2700.0
"Between The Sheets";" triple sec or Cointreau, white rum, brandy, lemon juice";2701.0
"Biffy Cocktail";" gin, lemon juice, Swedish Punch/Punsch or applejack or Calvados";2702.0
"Bijou Cocktail";" gin, sweet vermouth, green Chartreuse, orange bitters";2703.0
"Bijou Cocktail Variation";" gin, Curaçao, dry vermouth, orange bitters";2704.0
"Billy Taylor";" gin, lime juice";2705.0
"Bird Of Paradise Fizz";" gin, lemon juice, egg white, blackberry flavored brandy or grenadine, sugar";2706.0
"Biribie";" Dubonnet, gin, Grand Marnier";2707.0
"Bishop";" orange juice, Bourbon, sweet vermouth, Yellow Chartreuse";2708.0
"Bishop Variation";" white rum, lime juice, claret, sugar";2709.0
"Bittersweet";" sweet vermouth, dry vermouth, orange bitters, Angostura bitters";2710.0
"Black Devil";" white rum, sweet vermouth";2711.0
"Black Hawk Cocktail";" Bourbon, sloe gin, lemon juice";2712.0
"Blackjack";" coffee, kirsch, brandy";2713.0
"Blackjack Variation";" gin, kirsch, crème de cassis";2714.0
"Black Magic";" vodka, coffee-flavored liqueur, lemon juice";2715.0
"Blackout";" gin, lime juice, blackberry flavored brandy";2716.0
"Black Russian";" vodka, Kahlua";2717.0
"Black Stripe";" dark rum";2718.0
